valor,data
,2011-05-08
64.62197,2011-05-09
64.87688,2011-05-10
63.77582,2011-05-11
64.00316,2011-05-12
63.2353,2011-05-13
,2011-05-14
,2011-05-15
62.82968,2011-05-16
63.67334,2011-05-17
62.84061,2011-05-18
62.36736,2011-05-19
62.59652,2011-05-20
,2011-05-21
,2011-05-22
62.34518,2011-05-23
63.33675,2011-05-24
63.38844,2011-05-25
64.09857,2011-05-26
64.29496,2011-05-27
,2011-05-28
,2011-05-29
63.95393,2011-05-30
64.62008,2011-05-31
63.41148,2011-06-01
64.21808,2011-06-02
64.3405,2011-06-03
,2011-06-04
,2011-06-05
63.06773,2011-06-06
63.21785,2011-06-07
63.03297,2011-06-08
63.46882,2011-06-09
62.69716,2011-06-10
,2011-06-11
,2011-06-12
62.02292,2011-06-13
62.20483,2011-06-14
61.60374,2011-06-15
60.88062,2011-06-16
61.05998,2011-06-17
,2011-06-18
,2011-06-19
61.16824,2011-06-20
61.42361,2011-06-21
61.19409,2011-06-22
,2011-06-23
61.01672,2011-06-24
,2011-06-25
,2011-06-26
61.21698,2011-06-27
62.30337,2011-06-28
62.33397,2011-06-29
62.40364,2011-06-30
63.39434,2011-07-01
,2011-07-02
,2011-07-03
63.89131,2011-07-04
63.03881,2011-07-05
62.56546,2011-07-06
62.20733,2011-07-07
61.51324,2011-07-08
,2011-07-09
,2011-07-10
60.22363,2011-07-11
59.70475,2011-07-12
60.66989,2011-07-13
59.67935,2011-07-14
59.47801,2011-07-15
,2011-07-16
,2011-07-17
58.83761,2011-07-18
59.08213,2011-07-19
59.11971,2011-07-20
60.26295,2011-07-21
60.27047,2011-07-22
,2011-07-23
,2011-07-24
59.97054,2011-07-25
59.3399,2011-07-26
58.28846,2011-07-27
58.70825,2011-07-28
58.82345,2011-07-29
,2011-07-30
,2011-07-31
58.53574,2011-08-01
57.31078,2011-08-02
56.01722,2011-08-03
52.81136,2011-08-04
52.94922,2011-08-05
,2011-08-06
,2011-08-07
48.66829,2011-08-08
51.1509,2011-08-09
51.39529,2011-08-10
53.34311,2011-08-11
53.47335,2011-08-12
,2011-08-13
,2011-08-14
54.65183,2011-08-15
54.32361,2011-08-16
55.07302,2011-08-17
53.1341,2011-08-18
52.44763,2011-08-19
,2011-08-20
,2011-08-21
52.44023,2011-08-22
53.78663,2011-08-23
53.7957,2011-08-24
52.9533,2011-08-25
53.35079,2011-08-26
,2011-08-27
,2011-08-28
54.86073,2011-08-29
55.38503,2011-08-30
56.49512,2011-08-31
58.1182,2011-09-01
56.53162,2011-09-02
,2011-09-03
,2011-09-04
54.99841,2011-09-05
56.6073,2011-09-06
,2011-09-07
57.62363,2011-09-08
55.77839,2011-09-09
,2011-09-10
,2011-09-11
55.68547,2011-09-12
55.54397,2011-09-13
56.28604,2011-09-14
56.38146,2011-09-15
57.21011,2011-09-16
,2011-09-17
,2011-09-18
57.10278,2011-09-19
56.37863,2011-09-20
55.9819,2011-09-21
53.28028,2011-09-22
53.23036,2011-09-23
,2011-09-24
,2011-09-25
53.74752,2011-09-26
53.92036,2011-09-27
53.27036,2011-09-28
53.38467,2011-09-29
52.32442,2011-09-30
,2011-10-01
,2011-10-02
50.79153,2011-10-03
50.68634,2011-10-04
51.01385,2011-10-05
52.29037,2011-10-06
51.24362,2011-10-07
,2011-10-08
,2011-10-09
53.27311,2011-10-10
53.83847,2011-10-11
,2011-10-12
54.60107,2011-10-13
55.03045,2011-10-14
,2011-10-15
,2011-10-16
53.91133,2011-10-17
55.03193,2011-10-18
54.96613,2011-10-19
54.00998,2011-10-20
55.25523,2011-10-21
,2011-10-22
,2011-10-23
56.89197,2011-10-24
56.28599,2011-10-25
57.14379,2011-10-26
59.27013,2011-10-27
59.51313,2011-10-28
,2011-10-29
,2011-10-30
58.33839,2011-10-31
57.32275,2011-11-01
,2011-11-02
58.1963,2011-11-03
58.66992,2011-11-04
,2011-11-05
,2011-11-06
59.19877,2011-11-07
59.02613,2011-11-08
57.54974,2011-11-09
57.32181,2011-11-10
58.54697,2011-11-11
,2011-11-12
,2011-11-13
58.25823,2011-11-14
,2011-11-15
58.55999,2011-11-16
56.9889,2011-11-17
56.73134,2011-11-18
,2011-11-19
,2011-11-20
56.28459,2011-11-21
55.87844,2011-11-22
54.97208,2011-11-23
55.27988,2011-11-24
54.89449,2011-11-25
,2011-11-26
,2011-11-27
56.01735,2011-11-28
55.29976,2011-11-29
56.87498,2011-11-30
58.14342,2011-12-01
57.88585,2011-12-02
,2011-12-03
,2011-12-04
58.91048,2011-12-05
59.53616,2011-12-06
58.66283,2011-12-07
57.45502,2011-12-08
58.23646,2011-12-09
,2011-12-10
,2011-12-11
57.34686,2011-12-12
57.49485,2011-12-13
56.64687,2011-12-14
56.33115,2011-12-15
56.09693,2011-12-16
,2011-12-17
,2011-12-18
55.29833,2011-12-19
56.86485,2011-12-20
56.65337,2011-12-21
57.34787,2011-12-22
57.70107,2011-12-23
,2011-12-24
,2011-12-25
57.66948,2011-12-26
58.0052,2011-12-27
56.53376,2011-12-28
56.75408,2011-12-29
,2011-12-30
,2011-12-31
,2012-01-01
57.82927,2012-01-02
59.26487,2012-01-03
59.36495,2012-01-04
58.54608,2012-01-05
58.60037,2012-01-06
,2012-01-07
,2012-01-08
59.08288,2012-01-09
59.80596,2012-01-10
59.9624,2012-01-11
59.92078,2012-01-12
59.14658,2012-01-13
,2012-01-14
,2012-01-15
59.95646,2012-01-16
60.6459,2012-01-17
61.72286,2012-01-18
61.92669,2012-01-19
62.31213,2012-01-20
,2012-01-21
,2012-01-22
62.38624,2012-01-23
62.48622,2012-01-24
,2012-01-25
62.95306,2012-01-26
62.9042,2012-01-27
,2012-01-28
,2012-01-29
62.77001,2012-01-30
63.07231,2012-01-31
64.56718,2012-02-01
64.5931,2012-02-02
65.21737,2012-02-03
,2012-02-04
,2012-02-05
65.22372,2012-02-06
65.91702,2012-02-07
65.83116,2012-02-08
