valor,data
126.53832,2023-11-28
126.16564,2023-11-29
127.33112,2023-11-30
128.18491,2023-12-01
,2023-12-02
,2023-12-03
126.80279,2023-12-04
126.90325,2023-12-05
125.62265,2023-12-06
126.00957,2023-12-07
127.09357,2023-12-08
,2023-12-09
,2023-12-10
126.91641,2023-12-11
126.40303,2023-12-12
129.46508,2023-12-13
130.84209,2023-12-14
130.1971,2023-12-15
,2023-12-16
,2023-12-17
131.08382,2023-12-18
131.8509,2023-12-19
130.80417,2023-12-20
132.18201,2023-12-21
132.75293,2023-12-22
,2023-12-23
,2023-12-24
,2023-12-25
133.53292,2023-12-26
134.19372,2023-12-27
134.18524,2023-12-28
,2023-12-29
,2023-12-30
